-------------------------------------------------- Round 0 -------------------------------------------------- 
Efficient Network
Node 14: 591.6038259481788
Node 15: 591.6836903380877
Node 16: 591.4783398468321
Node 17: 591.537479044413
Node 18: 591.6122936728609
Node 19: 591.4783398468321
Inefficient Network
Node 0: 591.3760934761845
Node 1: 591.3652453735726
Node 2: 591.417016599768
Node 3: 591.417016599768
Node 4: 591.4003898027045
Node 5: 591.3641280224704
Node 6: 591.417016599768
Node 7: 591.3652453735726
Node 8: 591.3652453735726
Node 9: 591.3652453735726
Node 10: 591.3777500238057
Node 11: 591.3641280224704
Node 12: 591.3950088083284
Node 13: 591.3652453735726
Node 14: 591.3652453735726
Node 15: 591.4003898027045
Node 16: 591.3652453735726
Node 17: 591.3652453735726
Node 18: 591.3760934761845
Node 19: 591.3760934761845
-------------------------------------------------- Round 6 -------------------------------------------------- 
Efficient Network
Node 0: 591.7859225271823
Node 1: 591.6122936728609
Node 2: 591.4783398468321
Node 3: 591.573414404251
Node 4: 591.537479044413
Node 5: 591.4783398468321
Node 6: 591.587234015635
Node 7: 591.4915022094958
Node 8: 591.4783398468321
Node 9: 591.5130895121981
Node 10: 591.8239530894293
Node 11: 591.4915022094958
Node 12: 591.5884919339567
Node 13: 591.7928213112316
Node 14: 591.6038259481788
Node 15: 591.4783398468321
Node 16: 591.4783398468321
Node 17: 591.537479044413
Node 18: 591.6122936728609
Node 19: 591.4783398468321
Inefficient Network
Node 0: 591.3652453735726
Node 1: 591.3652453735726
Node 2: 591.3652453735726
Node 3: 591.3652453735726
Node 4: 591.3652453735726
Node 5: 591.3641280224704
Node 6: 591.3652453735726
Node 7: 591.3652453735726
Node 8: 591.3652453735726
Node 9: 591.3652453735726
Node 10: 591.3652453735726
Node 11: 591.3641280224704
Node 12: 591.3652453735726
Node 13: 591.3652453735726
Node 14: 591.3652453735726
Node 15: 591.3652453735726
Node 16: 591.3652453735726
Node 17: 591.3652453735726
Node 18: 591.3760934761845
Node 19: 591.3652453735726
-------------------------------------------------- Round 7 -------------------------------------------------- 
Efficient Network
Node 0: 591.7859225271823
Node 1: 591.6122936728609
Node 2: 591.4783398468321
Node 3: 591.573414404251
Node 4: 591.4783398468321
Node 5: 591.4783398468321
Node 6: 591.587234015635
Node 7: 591.4915022094958
Node 8: 591.4783398468321
Node 9: 591.5130895121981
Node 10: 591.8239530894293
Node 11: 591.4915022094958
Node 12: 591.5884919339567
Node 13: 591.7928213112316
Node 14: 591.6038259481788
Node 15: 591.4783398468321
Node 16: 591.4783398468321
Node 17: 591.537479044413
Node 18: 591.6122936728609
Node 19: 591.4783398468321
Inefficient Network
Node 0: 591.3652453735726
Node 1: 591.3652453735726
Node 2: 591.3652453735726
Node 3: 591.3652453735726
Node 4: 591.3652453735726
Node 5: 591.3641280224704
Node 6: 591.3652453735726
Node 7: 591.3652453735726
Node 8: 591.3652453735726
Node 9: 591.3652453735726
Node 10: 591.3652453735726
Node 11: 591.3641280224704
Node 12: 591.3652453735726
Node 13: 591.3652453735726
Node 14: 591.3652453735726
Node 15: 591.3652453735726
Node 16: 591.3652453735726
Node 17: 591.3652453735726
Node 18: 591.3652453735726
Node 19: 591.3652453735726
-------------------------------------------------- Round 8 -------------------------------------------------- 
Efficient Network
Node 0: 591.7859225271823
Node 1: 591.6122936728609
Node 2: 591.4783398468321
Node 3: 591.573414404251
Node 4: 591.4783398468321
Node 5: 591.4783398468321
Node 6: 591.587234015635
Node 7: 591.4915022094958
Node 8: 591.4783398468321
Node 9: 591.5130895121981
Node 10: 591.8239530894293
Node 11: 591.4915022094958
Node 12: 591.5884919339567
Node 13: 591.7928213112316
Node 14: 591.6038259481788
Node 15: 591.4783398468321
Node 16: 591.4783398468321
Node 17: 591.537479044413
Node 18: 591.6122936728609
Node 19: 591.4783398468321
Inefficient Network
Node 0: 591.3652453735726
Node 1: 591.3652453735726
Node 2: 591.3652453735726
Node 3: 591.3652453735726
Node 4: 591.3652453735726
Node 5: 591.3641280224704
Node 6: 591.3652453735726
Node 7: 591.3652453735726
Node 8: 591.3652453735726
Node 9: 591.3652453735726
Node 10: 591.3652453735726
Node 11: 591.3641280224704
Node 12: 591.3652453735726
Node 13: 591.3652453735726
Node 14: 591.3652453735726
Node 15: 591.3652453735726
Node 16: 591.3652453735726
Node 17: 591.3652453735726
Node 18: 591.3652453735726
Node 19: 591.3652453735726
-------------------------------------------------- Round 9 -------------------------------------------------- 
Efficient Network
Node 0: 591.7859225271823
Node 1: 591.6122936728609
Node 2: 591.4783398468321
Node 3: 591.573414404251
Node 4: 591.4783398468321
Node 5: 591.4783398468321
Node 6: 591.587234015635
Node 7: 591.4915022094958
Node 8: 591.4783398468321
Node 9: 591.5130895121981
Node 10: 591.4783398468321
Node 11: 591.4915022094958
Node 12: 591.5884919339567
Node 13: 591.7928213112316
Node 14: 591.6038259481788
Node 15: 591.4783398468321
Node 16: 591.4783398468321
Node 17: 591.537479044413
Node 18: 591.6122936728609
Node 19: 591.4783398468321
Inefficient Network
Node 0: 591.3652453735726
Node 1: 591.3652453735726
Node 2: 591.3652453735726
Node 3: 591.3652453735726
Node 4: 591.3652453735726
Node 5: 591.3641280224704
Node 6: 591.3652453735726
Node 7: 591.3652453735726
Node 8: 591.3652453735726
Node 9: 591.3652453735726
Node 10: 591.3652453735726
Node 11: 591.3641280224704
Node 12: 591.3652453735726
Node 13: 591.3652453735726
Node 14: 591.3652453735726
Node 15: 591.3652453735726
Node 16: 591.3652453735726
Node 17: 591.3652453735726
Node 18: 591.3652453735726
Node 19: 591.3652453735726
-------------------------------------------------- Round 10 -------------------------------------------------- 
Efficient Network
Node 0: 591.7859225271823
Node 1: 591.6122936728609
Node 2: 591.4783398468321
Node 3: 591.573414404251
Node 4: 591.4783398468321
Node 5: 591.4783398468321
Node 6: 591.587234015635
Node 7: 591.4915022094958
Node 8: 591.4783398468321
Node 9: 591.5130895121981
Node 10: 591.4783398468321
Node 11: 591.4915022094958
Node 12: 591.5884919339567
Node 13: 591.7928213112316
Node 14: 591.6038259481788
Node 15: 591.4783398468321
Node 16: 591.4783398468321
Node 17: 591.537479044413
Node 18: 591.6122936728609
Node 19: 591.4783398468321
Inefficient Network
Node 0: 591.3652453735726
Node 1: 591.3652453735726
Node 2: 591.3652453735726
Node 3: 591.3652453735726
Node 4: 591.3652453735726
Node 5: 591.3641280224704
Node 6: 591.3652453735726
Node 7: 591.3652453735726
Node 8: 591.3652453735726
Node 9: 591.3652453735726
Node 10: 591.3652453735726
Node 11: 591.3641280224704
Node 12: 591.3652453735726
Node 13: 591.3652453735726
Node 14: 591.3652453735726
Node 15: 591.3652453735726
Node 16: 591.3652453735726
Node 17: 591.3652453735726
Node 18: 591.3652453735726
Node 19: 591.3652453735726
-------------------------------------------------- Round 11 -------------------------------------------------- 
Efficient Network
Node 0: 591.7859225271823
Node 1: 591.6122936728609
Node 2: 591.4783398468321
Node 3: 591.573414404251
Node 4: 591.4783398468321
Node 5: 591.4783398468321
Node 6: 591.587234015635
Node 7: 591.4915022094958
Node 8: 591.4783398468321
Node 9: 591.5130895121981
Node 10: 591.4783398468321
Node 11: 591.4783398468321
Node 12: 591.5884919339567
Node 13: 591.7928213112316
Node 14: 591.6038259481788
Node 15: 591.4783398468321
Node 16: 591.4783398468321
Node 17: 591.537479044413
Node 18: 591.6122936728609
Node 19: 591.4783398468321
Inefficient Network
Node 0: 591.3652453735726
Node 1: 591.3652453735726
Node 2: 591.3652453735726
Node 3: 591.3652453735726
Node 4: 591.3652453735726
Node 5: 591.3641280224704
Node 6: 591.3652453735726
Node 7: 591.3652453735726
Node 8: 591.3652453735726
Node 9: 591.3652453735726
Node 10: 591.3652453735726
Node 11: 591.3641280224704
Node 12: 591.3652453735726
Node 13: 591.3652453735726
Node 14: 591.3652453735726
Node 15: 591.3652453735726
Node 16: 591.3652453735726
Node 17: 591.3652453735726
Node 18: 591.3652453735726
Node 19: 591.3652453735726
-------------------------------------------------- Round 12 -------------------------------------------------- 
Efficient Network
Node 0: 591.7859225271823
Node 1: 591.6122936728609
Node 2: 591.4783398468321
Node 3: 591.573414404251
Node 4: 591.4783398468321
Node 5: 591.4783398468321
Node 6: 591.587234015635
Node 7: 591.4915022094958
Node 8: 591.4783398468321
Node 9: 591.5130895121981
Node 10: 591.4783398468321
Node 11: 591.4783398468321
